zip,city_name,lat,long
35004,Acmar,33.584132,-86.51557
35005,Adamsville,33.588437,-86.959727
35006,Adger,33.434277,-87.167455
35007,Keystone,33.236868,-86.812861
35010,New Site,32.941445,-85.951086
35014,Alpine,33.331165,-86.208934
35016,Arab,34.328339,-86.489638
35019,Baileyton,34.268298,-86.621299
35020,Bessemer,33.409002,-86.947547
35023,Hueytown,33.414625,-86.999607
35031,Blountsville,34.092937,-86.568628
35033,Bremen,33.973664,-87.004281
35034,Brent,32.93567,-87.211387
35035,Brierfield,33.042747,-86.951672
35040,Calera,33.1098,-86.755987
35042,Centreville,32.950324,-87.11924
35043,Chelsea,33.371582,-86.614132
35044,Coosa Pines,33.266928,-86.337622
35045,Clanton,32.835532,-86.642472
35049,Cleveland,33.992106,-86.559355
35051,Columbiana,33.176964,-86.616145
35053,Crane Hill,34.082117,-87.048395
35054,Cropwell,33.506448,-86.280026
35055,Cullman,34.176146,-86.829777
35061,Dolomite,33.465424,-86.956435
35062,Dora,33.734947,-87.040148
35063,Empire,33.825589,-87.016139
35064,Fairfield,33.473494,-86.918262
35068,Coalburg,33.611283,-86.813614
35071,Gardendale,33.71891,-86.822481
35072,Goodwater,33.074642,-86.078149
35073,Alden,33.63356,-86.948221
35077,Hanceville,34.051569,-86.784844
35078,Harpersville,33.36746,-86.429441
35079,Hayden,33.885806,-86.81767
35080,Helena,33.316978,-86.813786
35083,Holly Pond,34.190085,-86.617441
35085,Jemison,32.980539,-86.718052
35087,Joppa,34.283739,-86.551939
35089,Kellyton,32.979068,-86.048397
35091,Kimberly,33.768355,-86.808417
35094,Leeds,33.528333,-86.574824
35096,Lincoln,33.605913,-86.111152
35098,Logan,34.184079,-87.038115
35111,Mc Calla,33.284546,-87.102379
35114,Maylene,33.231694,-86.872745
35115,Montevallo,33.124765,-86.862228
35116,Morris,33.739172,-86.772551
35117,Mount Olive,33.67678,-86.87171
35118,Sylvan Springs,33.540696,-87.043998
35120,Odenville,33.675611,-86.408952
35121,Oneonta,33.925858,-86.474118
35124,Indian Springs,33.31046,-86.806176
35125,Pell City,33.597889,-86.343151
35126,Dixiana,33.708131,-86.656542
35127,Pleasant Grove,33.488336,-86.976586
35130,Quinton,33.656065,-87.10066
35131,Ragland,33.736677,-86.1619
35133,Remlap,33.846204,-86.641662
35135,Riverside,33.608832,-86.198341
35136,Rockford,32.877957,-86.240006
35143,Shelby,33.078483,-86.553606
35146,Springville,33.738647,-86.439407
35147,Sterrett,33.446103,-86.491732
35148,Sumiton,33.768005,-87.044545
35150,Sylacauga,33.171675,-86.271257
35160,Talladega,33.435445,-86.113352
35171,Thorsby,32.923755,-86.746724
35172,Trafford,33.819038,-86.743414
35173,Trussville,33.633932,-86.598068
35175,Union Grove,34.409345,-86.462793
35176,Vandiver,33.480704,-86.501278
35178,Vincent,33.401049,-86.399425
35179,Vinemont,34.262121,-86.912512
35180,Warrior,33.852862,-86.819849
35183,Weogufka,33.02381,-86.304203
35184,West Blocton,33.142431,-87.13694
35186,Wilsonville,33.229255,-86.529894
35188,Woodstock,33.169808,-87.163469
35203,Birmingham,33.520994,-86.806626
35204,Birmingham,33.51795,-86.837198
35205,Birmingham,33.495144,-86.805937
35206,Birmingham,33.567797,-86.719854
35207,Birmingham,33.559383,-86.815344
35208,Birmingham,33.497658,-86.879884
35209,Homewood,33.469624,-86.806738
35210,Irondale,33.532797,-86.685697
35211,Birmingham,33.481565,-86.85904
35212,Birmingham,33.540883,-86.749524
35213,Crestline Height,33.508195,-86.742108
35214,Birmingham,33.555445,-86.886989
35215,Center Point,33.635447,-86.693197
35216,Vestavia Hills,33.41531,-86.790425
35217,Birmingham,33.5887,-86.764995
35218,Birmingham,33.505972,-86.892993
35221,Birmingham,33.452316,-86.893493
35222,Birmingham,33.521859,-86.766579
35223,Mountain Brook,33.488726,-86.736584
35224,Birmingham,33.519126,-86.934193
35226,Bluff Park,33.403675,-86.831257
35228,Midfield,33.462446,-86.914703
35233,Birmingham,33.506161,-86.800257
35234,Birmingham,33.53775,-86.80685
35235,Center Point,33.618045,-86.661051
35242,Shoal Creek,33.401559,-86.705511
35243,Cahaba Heights,33.446053,-86.743676
35244,Hoover,33.371776,-86.776381
35401,Tuscaloosa,33.196891,-87.562666
35404,Holt,33.210914,-87.488079
35405,Tuscaloosa,33.161704,-87.514435
35406,Tuscaloosa,33.272174,-87.536035
35441,Stewart,32.872354,-87.708558
35442,Aliceville,33.122813,-88.166689
35443,Boligee,32.774646,-88.026652
35444,Brookwood,33.277523,-87.309025
35446,Buhl,33.249448,-87.718886
35447,Carrollton,33.248506,-88.132122
35452,Coker,33.252612,-87.636528
35453,Cottondale,33.176667,-87.387051
35456,Duncanville,33.082815,-87.494977
35457,Echola,33.316559,-87.807202
35458,Elrod,33.343678,-87.801429
35459,Emelle,32.754963,-88.305747
35460,Epes,32.763371,-88.161443
35461,Ethelsville,33.386816,-88.221987
35462,Eutaw,32.888871,-87.930297
35463,Fosters,33.135859,-87.735688
35464,Gainesville,32.908364,-88.271558
35466,Gordo,33.346917,-87.900504
35469,Knoxville,32.982423,-87.791855
35470,Coatopa,32.588509,-88.173592
35474,Cypress,32.978853,-87.615134
35476,Northport,33.283425,-87.591441
35480,Ralph,33.062868,-87.744984
35481,Reform,33.395945,-88.020277
35490,Vance,33.17498,-87.257362
35501,Jasper,33.871672,-87.249144
35540,Addison,34.205571,-87.194766
35541,Arley,34.063234,-87.182761
35542,Bankston,33.70083,-87.68965
35543,Bear Creek,34.213469,-87.686083
35544,Beaverton,33.942877,-88.01567
35546,Berry,33.694485,-87.622563
35548,Brilliant,34.037702,-87.756315
35549,Carbon Hill,33.909252,-87.540328
35550,Cordova,33.768033,-87.18406
35552,Detroit,34.010874,-88.16063
35553,Double Springs,34.138682,-87.397431
35554,Eldridge,33.931546,-87.619397
35555,Fayette,33.697397,-87.834647
35563,Guin,33.967624,-87.90238
35564,Hackleburg,34.267803,-87.860762
35565,Haleyville,34.231423,-87.593811
35570,Hamilton,34.153413,-88.008521
35571,Hodges,34.341664,-87.959023
35572,Houston,34.118042,-87.26183
35574,Kennedy,33.574964,-88.05172
35575,Lynn,34.052984,-87.539814
35576,Millport,33.54013,-88.200003
35578,Nauvoo,33.929859,-87.432449
35579,Oakman,33.700174,-87.368574
35580,Parrish,33.721307,-87.265773
35581,Phil Campbell,34.347018,-87.715431
35582,Red Bay,34.451259,-88.112914
